district,facility_name,facility_type,public_or_private,latitude,longitude
Brunei-Muara,Raja Isteri Pengiran Anak Saleha Hospital,Hospital,Public,4.893098964,114.9314159
Brunei-Muara,Pengkalan Batu Health Centre,Health Centre,Public,4.771357437,114.8161541
Brunei-Muara,Jubli Perak Sengkurong Health Centre,Health Centre,Public,4.892283053,114.8455068
Brunei-Muara,Jubli Emas Kg Perpindahan Bunut Health Centre,Health Centre,Public,"4.848511872844437	",114.8850931
Brunei-Muara,Pengiran Anak Puteri Hajah Rashidah Sa'adatul Bolkiah Health Centre,Health Centre,Public,,
Brunei-Muara,Pengiran Anak Puteri Hajah Muta-Wakillah Hayatul Bolkiah Health Centre,Health Centre,Public,4.931728188,114.9066178
Brunei-Muara,Berakas Health Centre,Health Centre,Public,"4.970001570027915	",114.9654849
Brunei-Muara,Muara Health Centre,Health Centre,Public,5.060452461,115.0635691
Brunei-Muara,Kampong Bolkiah,Health Centre,Public,4.856915097,114.9577511
Brunei-Muara,Sungai Bunga,Health Centre,Public,4.915954945,115.0137299
Tutong,Pengiran Muda Mahkota Pengiran Muda Haji Al-Muhtadee Billah Hospital,Hospital,Public,4.817226795,114.6633437
Tutong,Telisai Health Centre,"Health Centre	",Public,"4.737959402530828	",114.5599799
Tutong,Pekan Tutong Health Centre,"Health Centre	",Public,4.81826314,114.6630856
Tutong,Sungai Kelugos Health Centre,"Health Centre	",Public,4.808132022,114.7709651
Tutong,Lamunin Health Centre,"Health Centre	",Public,4.681272078,114.7143178
Belait,Suri Seri Begawan Hospital,Hospital,Public,4.583885129,114.1990153
Belait,Seria Health Centre,Health Centre,Public,4.611125494,114.3363469
Belait,Sungai Liang Health Centre,Health Centre,Public,4.67721199,114.4948853
Temburong,Pengiran Isteri Hajjah Mariam Hospital,Hospital,Public,4.711104159,115.0772222